dates,RG_BISH05_mm,RG_BISH12_mm,RG_DEL0103_mm,RG_KID1316_mm,RG_KID46_mm,RG_MEL05_mm,RG_MEL14_mm,RG_NASE0104_mm,RG_NASE05i_mm,RG_NEWS1920_mm
2024-02-06,0.27783408350000005,0.596394917,0.286545029,0.3935201836428571,0.5998433757333334,0.2793801135,0.279359225,0.5120128036,0.38473354374999996,0.285533699
2024-02-07,0.277820023,0.596795161,0.0,0.254,0.264576403,0.0,0.279338622,0.3413546376666667,0.5643218326,0.0
2024-02-08,0.2777830115,0.4477158085,0.0,0.889,0.925631711375,0.0,0.279320148,0.320047705125,0.3527310205,0.42840584924999997
2024-02-09,0.7221888,0.6571614404,0.2865155465,0.33866666666666667,0.35258329066666666,0.279297352,0.558596034,0.25605073459999994,0.25654823,0.5140976338
2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.279262655,0.0,0.0,0.0
2024-02-11,1.04136330455,1.24170098195,0.6139120932857143,1.1215870788,1.1627379738,0.6319440907368421,0.607742172,1.611846278352941,1.4540632186666667,1.0224218471578947
2024-02-12,0.7497342998,0.9877978007999999,0.5729721421428572,0.5772727272727273,0.6004904283636364,0.6204700077777778,0.6701014036,0.8148561569090909,0.6842979697777777,0.5428201417
2024-02-13,0.0,0.0,0.286476065,0.0,0.0,0.0,0.279183111,0.0,0.0,0.0
2024-02-14,1.665615587,1.6992690956666667,1.2890604901666667,0.4525831672857143,0.2640392855,2.065583409,1.5352293900000002,2.113173181125,2.281516745111111,2.036084912
2024-02-15,1.3647835535,2.900211044666667,2.0051391542222223,0.5940358516249999,0.4224116886,3.070236236,0.34889196125,3.073748513,1.1807076214,1.00022531175
2024-02-16,0.0,0.0,0.34373306260000003,0.0,0.0,0.0,0.279073544,0.25616593,0.0,0.285805102
2024-02-17,0.7258277328461538,0.7395046550769231,0.54899023725,0.396054167,0.0,0.5813596233333334,0.6976335491000001,0.9168848833157894,0.745735194,0.4525753750833334
2024-02-18,0.42691168630769233,0.5110603537,0.5728383555000001,0.410741064,0.866738618142857,0.5580453426666666,0.3720310184444445,0.5604458366875,0.5332474133076923,0.39306363775
2024-02-19,0.5945633342857144,0.676841156875,0.5155364045999999,0.5281245275714286,0.8570150045,0.3719873706666667,0.41848646966666675,0.3202771775,0.28530048688888887,0.46456870912500003
2024-02-20,0.3606548062,0.3913728082,0.4582365824,0.44012190288888886,0.79094686875,0.3719524221111111,0.4959303766666667,0.628954236,0.47078886941666664,0.3716924039
2024-02-21,2.029362924157895,2.321524535411765,0.837130350076923,0.8865640399285715,0.6542271062857142,0.9869765551538462,0.9855367678666667,1.6229559831333333,1.7186616147692308,1.362438903882353
2024-02-22,1.0401836202499999,1.205376194,0.0,0.264089771,0.11098196775000001,0.2789111,0.371880654,0.25626971033333334,0.0,0.285956164
2024-02-23,0.0,0.0,0.0,0.0,0.06982326345833334,0.0,0.278865412,0.0,0.256859966,0.0
2024-02-24,0.38128326,0.5702223182222222,0.28634836750000003,0.264118903,0.11064479975000001,0.27882123575,0.37176125666666665,0.384476447,0.41101343240000004,0.4131441508888889
2024-02-25,1.88546147645,2.14436840505,1.1262784566666668,1.1445571830833334,0.6439540629583334,1.2766174,1.5643814063888888,1.8348009963684213,1.4197073700526317,1.5506279724736842
2024-02-26,0.45052343162499997,0.4910828395,0.40904683128571423,0.507954464,0.136729983875,0.557546985,0.44603828009999996,0.6591811410714286,0.85639064575,0.6501361909090909
2024-02-27,2.1098067376111107,2.520571922555556,1.3795185088181818,0.9685402176666665,0.56380319875,1.4168502625833332,1.2940797267142856,2.712150816368421,3.4205586426875,1.6492389806470586
2024-02-28,3.205593850130435,3.3918580801666667,2.8749992397083335,1.248753992818182,1.3213068200416667,2.7627702039130435,2.7289310182916666,3.0339141147083333,2.601708691708333,3.3089435369999998
2024-02-29,1.6774670911578948,1.28682816355,1.25970590045,1.3560441425333332,0.5558096442916667,1.3159526403333333,1.1456658463333333,2.122461781388889,1.6275215627222221,1.310184699631579
2024-03-01,1.683998453,1.701509646923077,0.8588568265454545,0.3815878335555556,0.3821387813333333,1.3622307139999998,0.9287908377333333,1.2217742836470589,1.0830505284285714,1.1614441607058823
2024-03-02,0.9236041523999999,1.1851067558181818,0.6766474047272727,0.968680989,0.2744038930416667,0.8915370491000001,0.6567152038571429,1.0097492536875,0.973000626,0.7743573824705882
2024-03-03,1.1081767194499998,2.4607199938888886,0.644087719625,0.59444822325,0.3590793307083333,0.6499971703333334,0.857134179153846,1.5387679158333334,1.3815690095,0.8455877677727273
2024-03-04,0.692530953,1.0117638338333335,0.8396674424666667,1.115540357111111,0.22077210887499998,1.5474168074444445,1.28821483725,1.2567598809,1.3138406523333335,0.6201489963333333
2024-03-05,1.8003918380000001,5.466915533,0.286241135,0.7926441465,0.11218926091666666,0.0,0.9283550983333334,0.25649080300000004,0.257073619,0.28623107150000004
2024-03-06,0.0,0.0,0.0,0.0,0.06835000266666667,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.068335593,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.3691834113333334,0.304217942,0.286204891,0.0,0.09234926491666667,0.556819714,0.48721620925,0.256553983,0.257126854,0.3817287866666667
2024-03-09,1.2284997100000001,1.236806973875,1.0126754546923078,0.5285036415,0.3743215858333333,1.0278211256923078,1.0935850521428572,1.0996106794285716,0.929686617153846,1.0975663721666669
2024-03-10,1.48096927055,1.6824766845714285,1.6834112841764706,1.0240100086875,0.5556773828333333,1.3425658011176471,1.5226596846470588,1.0263672192352942,0.9681407929999999,1.5953170030476191
2024-03-11,1.31469834475,1.3983895574705882,1.2209738377333332,0.4991766843333334,0.39503633329166665,1.0275613004615385,1.2324620478571429,1.8123556621875,1.4627345085,1.2296616895882355
2024-03-12,0.7799478278181818,0.66059972,1.1732586696,0.4430449660625,0.22610520245833332,0.7064030294615384,0.7589456297272726,0.6232382681428571,0.6528759505384615,0.7289434784545455
2024-03-13,0.46121465500000003,0.5083853023333333,0.0,0.049477273083333335,0.09208206025,0.0,0.0,0.256646429,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.04334180658333334,0.06824147704166666,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,0.043343091083333334,0.06822901295833333,0.0,0.0,0.0,0.0,0.0
2024-03-16,0.0,0.0,0.0,0.043344349875,0.06821679591666667,0.0,0.0,0.0,0.0,0.0
2024-03-17,0.0,0.0,0.0,0.04334558283333333,0.068204825625,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.04334679016666667,0.0681931015,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.04334797183333333,0.06818162316666666,0.0,0.0,0.0,0.257305868,0.0
2024-03-20,0.9953216544,1.2860126826,0.36779301428571426,0.07115572495833333,0.12269686645833333,0.2779950885,0.3243284656666667,0.9876440036153846,0.8455054767142857,1.0027895500000001
2024-03-21,0.5529002237777778,0.6466697214444443,0.2860529055,0.08760058804166666,0.13478627920833333,0.55594248475,0.555934097,0.4740918044615385,0.47178451016666667,0.5093770457777778
2024-03-22,1.3206654240000002,1.2598584105555557,1.1441681338333332,0.16355666420833334,0.23821211470833334,1.0323572401428571,0.868567468625,0.9502272994000001,1.029403188,0.64470610325
2024-03-23,0.7739126994000001,2.329945047,1.2871501598333335,0.189058019125,0.20220366979166668,1.3617370235000001,0.6021254715,0.9417345583333333,0.9007802511666666,0.6304064038
2024-03-24,0.0,0.0,0.42903587600000004,0.05439505787500001,0.07609300958333333,0.27789048066666666,0.41683665000000003,0.4109594352,0.3860621796666666,0.0
2024-03-25,0.7737049139,0.8864729051111111,0.679265853625,0.14410685091666667,0.19343474079166667,0.45149226675,0.8890899703999999,0.6564597055555556,0.4075401209166667,0.680626223
2024-03-26,0.6907584518750001,0.73666144,0.4289965215,0.08179257304166666,0.13371962929166667,0.277817578,0.416724985125,0.25688498200000004,0.25740191525,0.39405720525
2024-03-27,1.1396239628125,1.343399412625,1.5140455620588236,0.38342663179166664,0.4418490734166667,1.2719665175263157,1.111143539368421,2.5237217334117648,2.6599707226666665,1.1801223502941178
2024-03-28,0.9392024536499999,1.0186388642631579,1.0962335831111112,0.28222998070833333,0.37140786679166665,0.8853167335625,0.9149318051764705,1.8796182357368423,1.5174852105789474,0.845519004
2024-03-29,0.7596039365,0.6760089182,0.57193852,0.06679415879166667,0.10600702716666667,0.277731719,0.4165984505,0.6166487806000001,0.51487615675,0.35827802975
2024-03-30,0.0,0.0,0.0,0.04335933183333333,0.06807112279166666,0.0,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.043360221875,0.06806245233333334,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.04336108958333334,0.06805399895833333,0.0,0.0,0.0,0.0,0.0
2024-04-02,1.9785437461666666,1.890921016857143,0.9530591429999999,0.14566391058333333,0.22396719075000002,1.040951673,1.4434501785999998,1.5935191685999999,1.5964581882000002,1.5767184593333334
2024-04-03,0.55213609325,0.6926768517499999,0.530984358,0.10373109416666666,0.12649962470833334,0.47584939628571427,0.7137695367142857,0.51404531375,0.3604933192,0.477799574
2024-04-04,0.276022742,0.0,1.8106896536666666,0.06638145266666666,0.08589597908333334,0.277530241,1.387676733,0.0,0.0,0.860086737
2024-04-05,0.275987281,0.308144166,0.0,0.045779707125000006,0.07177382354166667,0.277499727,0.0,0.257061922,0.2575167895,0.0
2024-04-06,0.367965492,0.3698354496,0.7623476541666666,0.08321268545833334,0.11223999354166665,0.46246283716666664,0.3567623248571429,0.8647182622727272,0.7725913531818182,0.7167847885
2024-04-07,0.5913247398571428,0.7193073854444445,0.457397174,0.08046436012500001,0.12313277983333333,0.2774596075,0.6104085088,0.9962286124999999,0.6867694242222222,0.5324803108571429
2024-04-08,2.036486127857143,2.4112432815,0.8754458045625,0.353805471125,0.5910972745416666,1.1096815883333333,0.9301706922352941,0.8838262459375,1.1221894490714286,1.4167976198235293
2024-04-09,0.6552609215,1.0795977816666666,0.714637073875,0.15632090533333334,0.18590765295833334,0.93624867275,0.970921891,0.8227832088,0.6868152137777778,0.45877811200000007
2024-04-10,0.0,0.0,0.0,0.0433679445,0.067987137125,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.7815148971666667,1.2347764731666666,0.4287443565,0.08522214225000001,0.13068324129166667,0.48533658999999996,0.5546719526,0.9919080522857142,0.6255511124285713,0.7168964369999999
2024-04-12,0.34477584725,0.4116254876666667,0.285828028,0.05936567504166667,0.089058707625,0.27732888699999997,0.369772467,0.450037658,0.2575825815,0.573521214
2024-04-13,0.0,0.0,0.0,0.043369877499999994,0.06796826045833333,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.04337048600000001,0.06796231554166667,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.6433582873333333,0.5562387708000001,0.0,0.047669922291666667,0.08456163425,0.0,0.0,0.3429580716666667,0.25761050412500003,0.40150356379999996
2024-04-16,0.36762531066666665,0.41206665533333336,0.2857855,0.04582814245833333,0.07743936079166668,0.0,0.0,0.25722314700000004,0.34348853799999995,0.573581557
2024-04-17,0.0,0.0,0.0,0.04337220966666667,0.06794547091666667,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.04337275133333333,0.067940173875,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.04337327741666667,0.06793502983333334,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.6430846446666667,0.46408529425,0.285752614,0.060521500375,0.09384542483333334,0.3694834343333333,0.41566956549999995,0.5145726713333333,0.5152965429999999,0.478037155
2024-04-21,0.3937087918571428,0.5672868765,0.7619967798333334,0.11603407987500002,0.13897269966666667,0.6927582996666667,0.727392412875,1.1149393105,0.740750991625,0.8604762598000001
2024-04-22,0.0,0.0,0.0,0.04337476491666667,0.06792047925,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.04337523166666667,0.06791591116666666,0.0,0.0,0.0,0.0,0.0
2024-04-24,1.136532959625,1.1259425157272729,0.3571529695,0.09514166020833333,0.16837863804166667,0.3324338912,0.5078815938333333,0.8116001571538463,0.6257788057857143,1.1951826991666668
2024-04-25,2.1121907764166665,2.54208370875,0.9870163603181819,0.5228331923333334,0.7673314357083334,1.3058915885238096,1.2591217058181818,1.9916415470434783,2.0721641808333335,1.63743010575
2024-04-26,0.5297786729999999,0.7020906298,1.2652759842857144,0.10628867508333334,0.161975778875,0.6726828932857142,0.3561284702857143,0.5147168548,0.5497247135333333,0.5215524864545454
2024-04-27,1.565771695368421,2.0998769325,0.7142501821,0.3214970108333333,0.47597072533333334,0.9286416686470589,0.8454683028947368,1.7158114486111111,1.689302612222222,1.4493965600526315
2024-04-28,0.42568761672727273,0.5633848155454545,0.32650828814285715,0.14196434608333333,0.17199617550000001,0.5341084987142858,0.5815820217,0.6434598226,0.7473199000999999,0.4172568384545455
2024-04-29,2.0381417506000004,1.9834307154000002,0.28568645185714286,0.154644017125,0.21886918045833334,1.0154020251666667,1.4400173742,1.2297625362222222,1.054227612,1.8646382069999998
2024-04-30,1.4163785678571428,1.797763132,0.5713554008181818,0.13757739645833333,0.20442836329166666,0.7384272696666668,0.9098500907142857,1.8720241309999999,1.3658346711,1.6064822086
2024-05-01,0.2753766245,0.387556022,0.342809069,0.047716161625,0.078633551375,0.0,0.276884337,0.7722609767499999,0.5154260594,0.0
2024-05-02,0.0,0.0,0.285667105,0.043378848666666664,0.067880490375,0.0,0.0,0.257421828,0.257715128,0.286880377
2024-05-03,2.1721248495555554,2.067606566555556,1.795560634857143,0.23093245566666668,0.338849611625,1.2111836870000001,1.488022383875,2.036119463818182,1.8040550099000001,1.5778822514
2024-05-04,0.9337201864782609,1.0856055713181818,0.856960698,0.36726086995833335,0.45136672533333333,0.9814916473636365,0.9059914705000001,1.152378873857143,1.0431724174285715,1.2258034646363638
2024-05-05,1.5294628874444445,1.635778441090909,0.28564693718181816,0.16059832233333335,0.24853591325000002,0.4745316642857143,0.5787844072727273,0.8753666076,0.8200537376363637,0.8827547043846153
2024-05-06,1.1011813996666666,1.264890904153846,0.30244378617647055,0.207562732625,0.27775832916666665,0.9134358259,0.8516817834615384,0.8296132944444445,0.8161541021666667,0.9085081716666666
2024-05-07,0.412920531,0.6205953,0.28563486183333336,0.05086576808333334,0.07878368470833333,0.0,0.27677704466666664,0.257474696,0.3866051235,0.9563348116666667
2024-05-08,0.0,0.0,0.285627867,0.04338075320833334,0.06786181754166666,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,0.285621364,0.04338103670833333,0.06785903570833333,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.043381311375,0.06785634129166666,0.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,0.04338157725,0.06785373175,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.04338183491666667,0.06785120429166668,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.275182575,0.31053180199999997,0.0,0.04399635708333333,0.07021724066666667,0.0,0.0,0.257530795,0.257760226,0.286920259
2024-05-14,0.0,0.0,0.0,0.04338232554166666,0.067846387125,0.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,0.043382559375,0.06784409279166667,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.3537448814285714,0.5648093791818182,0.571168837,0.05815839270833333,0.09571342729166667,0.553267739,0.414949931,0.5151182786666667,0.44189401028571434,0.45088937785714284
2024-05-17,0.0,0.0,0.0,0.04338300441666667,0.06783972095833334,0.0,0.0,0.257563806,0.257772765,0.286931293
2024-05-18,0.275110669,0.621406605,0.0,0.05316577454166666,0.07686631004166668,0.4149134535,0.2766090645,0.7727170944999999,0.42962873316666667,0.8608021
2024-05-19,0.0,0.0,1.0708906615,0.119072341875,0.12551901508333332,3.8723170660000004,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.04338362008333333,0.06783367429166667,0.0,0.0,0.0,0.0,0.0
2024-05-21,1.4400708791764705,2.227367907222222,0.8186103323333334,0.29185459704166666,0.41677846987499995,0.8665817059333333,1.002559901625,1.8334775499411766,1.4708964860588236,1.6372550239411765
